time,supportnumber,commentnumber,repostnumber,text
20小时前,1928,121,114,"  . "
21小时前,3142,428,622,"渤海湾畔，歼-15战机依次排列滑行，随时准备升空迎敌，霸气十足！转！  "
22小时前,9141,1344,1417,"今天11时06分，老一辈无产阶级革命家、老红军王定国因病在北京去世，享年107岁。王定国1933年10月参加中国工农红军；1934年10月随红四方面军参加了三过雪山草地的艰苦两万五千里长征。她91岁重走长征路，94岁考察黄河生态，99岁还在植树造林。致敬！一路走好！（ ..."
23小时前,69973,2328,2382,"美国总统军控事务特使比林斯称，“美俄已就开展核军控谈判的时间地点达成一致。我们也邀请了中国，中国是否会带着诚意出现和谈判？”外交部发言人华春莹表示，中方无意参加所谓的“中美俄三边军控谈判”。近两年美国不断毁约、退群。听到 ..."
23小时前,2243,469,294,"今天，河北省教育厅发布公告：①6月15日起，全省小学一至三年级复学复课；②大中小学全部复学复课后，合法线下教育培训机构可提出线下开班申请，核验合格，履行程序后有序恢复线下培训；③复学复课前，小学一至三年级继续开展线上教育教学工作。（总台央视记者王帅南 ..."
"昨天 15:23",12831,1030,446,"国家文物局刊文：6日凌晨，“国立武汉大学”牌坊被一水泥罐车冲撞，局部受损。经核实，事故原因系湖北某商品混凝土有限公司一辆水泥搅拌车前往湖北省妇幼保健医院打混凝土时，为图方便，司机欲从劝业场路绕道医院后门，在驾驶过程中导致车辆罐体顶端与“国立武汉大 ..."
"昨天 15:15",2028,263,1827,"读书，为了遇见更好的自己！ "
"昨天 14:21",10255,1848,1166,"北京市教委消息，根据2019-2020学年度北京中小学校历安排，北京市中小学春季学期于7月10日结束，7月11日开始放暑假。（总台央视记者柴丹枫） "
"昨天 14:04",1560,181,180," 6月8日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例3例，均为境外输入病例（广东2例，四川1例）；无新增死亡病例；无新增疑似病例。<br />  当日新增治愈出院病例10例，解除医学观察的密切接触者396人，重症病例与前一日持平。<br />  境外 ..."
"昨天 13:43",8643,2242,1147,"中央气象台发布，未来10天，广东、广西、湖南、湖北、安徽、江苏、江西、云南等地多强降雨。其中，广西北部局地将伴有雷暴大风、短时强降水等对流天气。转发提醒，注意防范！ "
"昨天 13:05",4933,682,417,"一图了解新冠肺炎世界疫情形势！关注！ "
