time,SupportSum,CommentSum,RepostSum,CovidSum,WeiboSum,CovidPrecent,AverageSupport,AverageComment,AverageRepost,CommSupportRatio,RepoSupportRatio
05-30,1690436,117488,101642,15,47,0.3191489361702128,35966.72340425532,2499.744680851064,2162.595744680851,0.06950159603794524,0.06012768303561921
05-31,1682903,93136,132379,16,50,0.32,33658.06,1862.72,2647.58,0.05534246477663894,0.07866109930281187
06-01,1843476,197538,403672,9,58,0.15517241379310345,31784.068965517243,3405.8275862068967,6959.862068965517,0.10715517858653978,0.21897328742006947
06-02,1200499,89119,81371,18,46,0.391304347826087,26097.804347826088,1937.3695652173913,1768.9347826086957,0.07423496396081962,0.06778098107536949
06-03,1311986,67508,84903,13,44,0.29545454545454547,29817.863636363636,1534.2727272727273,1929.6136363636363,0.05145481735323395,0.06471334297774518
06-04,1583082,86758,71276,15,40,0.375,39577.05,2168.95,1781.9,0.05480322560675947,0.04502356795162853
06-05,2911533,200134,341473,12,46,0.2608695652173913,63294.19565217391,4350.739130434783,7423.326086956522,0.06873835879586458,0.11728288843025307
06-06,1519878,95423,116066,8,43,0.18604651162790697,35346,2219.139534883721,2699.2093023255816,0.06278332866190575,0.07636533984964583
06-07,2260747,100100,99126,16,44,0.36363636363636365,51380.61363636364,2275,2252.8636363636365,0.044277400345991834,0.043846569297670196
06-08,973046,67687,73633,15,44,0.3409090909090909,22114.68181818182,1538.340909090909,1673.4772727272727,0.06956197343188297,0.07567268145596405
06-09,265391,20624,21059,7,20,0.35,13269.55,1031.2,1052.95,0.07771175360129016,0.07935084460286898
